,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,leningradskiy,RU,RU,1544316511,95,69.38,178.42,255.692,5.17
1,hithadhoo,MV,MV,1544316355,100,-0.6,73.08,301.667,4.12
2,coreau,BR,BR,1544316628,96,-3.53,-40.66,295.867,0.97
3,torbay,CA,CA,1544313600,100,47.66,-52.73,271.15,7.2
4,hobart,AU,AU,1544315400,59,-42.88,147.33,289.15,1.5
5,saint george,GR,GR,1544313000,93,39.45,22.34,280.23,1.57
6,norman wells,CA,CA,1544313600,85,65.28,-126.83,261.15,1.5
7,kapaa,US,US,1544313360,53,22.08,-159.32,299.35,9.3
8,punta arenas,CL,CL,1544313600,61,-53.16,-70.91,283.15,9.3
9,santander,PH,PH,1544313600,79,9.42,123.33,302.15,3.1
10,la ronge,CA,CA,1544313600,85,55.1,-105.3,265.15,2.6
11,albany,US,US,1544314620,70,42.65,-73.75,267.4,2.6
12,thompson,CA,CA,1544313600,85,55.74,-97.86,262.15,3.1
13,buala,SB,SB,1544316631,83,-8.15,159.59,303.292,0.27
14,xai-xai,MZ,MZ,1544316632,100,-25.04,33.64,295.692,2.57
15,svetlogorsk,RU,RU,1544315400,71,53.14,59.15,258.15,1.0
16,rikitea,PF,PF,1544316458,98,-23.12,-134.97,299.042,6.62
17,celestun,MX,MX,1544316632,91,20.87,-90.4,300.292,3.02
18,bredasdorp,ZA,ZA,1544313600,77,-34.53,20.04,288.15,1.5
19,hauterive,FR,FR,1544313600,66,46.09,3.45,285.15,6.2
20,east london,ZA,ZA,1544316633,100,-33.02,27.91,292.542,4.67
21,narsaq,GL,GL,1544313000,68,60.91,-46.05,272.15,5.1
22,haimen,CN,CN,1544316634,100,31.87,121.18,277.292,4.22
23,icod de los vinos,ES,ES,1544315400,68,28.37,-16.71,291.15,4.6
24,oskarshamn,SE,SE,1544314800,87,57.26,16.44,280.15,6.2
25,jamestown,AU,AU,1544316480,38,-33.21,138.6,303.467,2.07
26,busselton,AU,AU,1544316635,100,-33.64,115.35,290.567,7.27
27,kahului,US,US,1544315280,73,20.89,-156.47,298.07,16.5
28,castro,CL,CL,1544313600,87,-42.48,-73.76,286.15,6.2
29,san cristobal,EC,EC,1544313600,93,-0.39,-78.55,287.15,2.6
30,nikolskoye,RU,RU,1544315400,86,59.7,30.79,271.15,5.0
31,ushuaia,AR,AR,1544313600,61,-54.81,-68.31,282.15,9.8
32,pevek,RU,RU,1544316637,100,69.7,170.27,251.717,4.42
33,cape town,ZA,ZA,1544313600,72,-33.93,18.42,289.15,3.1
34,christchurch,NZ,NZ,1544315400,49,-43.53,172.64,296.15,3.6
35,la plata,AR,AR,1544313600,56,-34.92,-57.95,294.15,3.1
36,lorengau,PG,PG,1544316637,99,-2.02,147.27,302.367,4.22
37,hilo,US,US,1544313180,56,19.71,-155.08,299.85,5.1
38,san juan,PH,PH,1544313600,69,14.6,121.03,301.15,3.1
39,kourou,GF,GF,1544315400,83,5.16,-52.64,298.15,1.5
40,hermanus,ZA,ZA,1544316639,100,-34.42,19.24,284.817,1.37
41,riyadh,SA,SA,1544313600,51,24.63,46.72,290.15,4.6
42,guerrero negro,MX,MX,1544316639,63,27.97,-114.04,294.117,3.82
43,manado,ID,ID,1544315400,74,1.49,124.85,302.15,1.5
44,dudinka,RU,RU,1544316640,81,69.41,86.18,254.642,10.12
45,coquimbo,CL,CL,1544313600,77,-29.95,-71.34,290.15,4.1
46,williams lake,CA,CA,1544313600,68,52.13,-122.14,271.15,7.2
47,mataura,NZ,NZ,1544316483,89,-46.19,168.86,291.617,6.42
48,marica,BR,BR,1544313600,88,-22.92,-42.82,292.13,3.1
49,kawalu,ID,ID,1544316641,97,-7.38,108.21,294.617,0.62
50,mahebourg,MU,MU,1544313600,88,-20.41,57.7,298.15,4.6
51,barra patuca,HN,HN,1544316642,84,15.8,-84.28,300.817,6.42
52,mahon,IE,IE,1544315400,81,51.89,-8.4,281.15,11.3
53,puerto ayora,EC,EC,1544313600,57,-0.74,-90.35,298.15,6.7
54,airai,TL,TL,1544316631,90,-8.93,125.41,298.292,0.52
55,yulara,AU,AU,1544313600,20,-25.24,130.99,309.15,3.6
56,richards bay,ZA,ZA,1544316643,100,-28.77,32.06,293.292,4.47
57,arraial do cabo,BR,BR,1544316402,94,-22.97,-42.02,295.017,3.82
58,stromness,CA,CA,1544315220,65,42.87,-79.55,270.17,3.6
59,severo-kurilsk,RU,RU,1544316644,100,50.68,156.12,272.442,1.72
60,grindavik,IS,IS,1544315400,69,63.84,-22.43,273.98,0.5
61,teruel,ES,ES,1544313600,86,40.34,-1.11,278.19,1.5
